study	trial_id	freq_bin	nodes	bp	bp_frac	target_bp_frac	bp_frac_delta
crush_local_k63/chain-povu	1	1.5-2	247	6643	0.0001726561518039254	0.038940252065098165	-0.03876759591329424
crush_local_k63/chain-povu	1	2-3	0	0	0.0	0.27242506324013344	-0.27242506324013344
crush_local_k63/chain-povu	1	>=3	0	0	0.0	0.00036936715094804237	-0.00036936715094804237
crush_local_k63/chain-povu	2	0-0.01	359953	35676503	0.9983632569443418	0.008417093864028117	0.9899461630803137
crush_local_k63/chain-povu	2	0.01-0.05	515	13343	0.00037338751887785505	0.04074231604396589	-0.040368928525088034
crush_local_k63/chain-povu	2	0.05-0.1	182	4782	0.00013381841529445425	0.0012312238364934746	-0.0010974054211990204
crush_local_k63/chain-povu	2	0.1-0.25	247	6951	0.00019451522474106054	0.0017460992590271093	-0.0015515840342860488
crush_local_k63/chain-povu	2	0.25-0.5	102	2923	8.179657630817435e-05	0.0006715766380873498	-0.0005897800617791755
crush_local_k63/chain-povu	2	0.5-0.75	305	7430	0.00020791945329104873	0.0007611201898323297	-0.0005532007365412809
crush_local_k63/chain-povu	2	0.75-1	424	9386	0.0002626557185181404	0.4076134404871169	-0.40735078476859876
crush_local_k63/chain-povu	2	1-1.5	263	6720	0.00018805097255933343	0.22708244722526919	-0.22689439625270985
crush_local_k63/chain-povu	2	1.5-2	259	6954	0.00019459917606809595	0.038940252065098165	-0.03874565288903007
crush_local_k63/chain-povu	2	2-3	0	0	0.0	0.27242506324013344	-0.27242506324013344
crush_local_k63/chain-povu	2	>=3	0	0	0.0	0.00036936715094804237	-0.00036936715094804237
crush_local_k63/sweepga	2	0-0.01	276690	13745966	0.9847246238644942	0.008417093864028117	0.9763075300004661
crush_local_k63/sweepga	2	0.01-0.05	1057	80553	0.005770603726661087	0.04074231604396589	-0.0349717123173048
crush_local_k63/sweepga	2	0.05-0.1	257	8306	0.0005950198571579828	0.0012312238364934746	-0.0006362039793354917
crush_local_k63/sweepga	2	0.1-0.25	648	24121	0.0017279646008316525	0.0017460992590271093	-1.813465819545685e-05
crush_local_k63/sweepga	2	0.25-0.5	725	35941	0.0025747181177600605	0.0006715766380873498	0.0019031414796727107
crush_local_k63/sweepga	2	0.5-0.75	210	4687	0.0003357642752828637	0.0007611201898323297	-0.000425355914549466
crush_local_k63/sweepga	2	0.75-1	1709	40787	0.002921872732230032	0.4076134404871169	-0.40469156775488685
crush_local_k63/sweepga	2	1-1.5	433	11312	0.0008103617414123648	0.22708244722526919	-0.22627208548385683
crush_local_k63/sweepga	2	1.5-2	272	7525	0.0005390710841697352	0.038940252065098165	-0.03840118098092843
crush_local_k63/sweepga	2	2-3	0	0	0.0	0.27242506324013344	-0.27242506324013344
crush_local_k63/sweepga	2	>=3	0	0	0.0	0.00036936715094804237	-0.00036936715094804237
full_query_syng/auto	1	0-0.01	16516	8243635	0.7771111771615729	0.008417093864028117	0.7686940832975447
full_query_syng/auto	1	0.01-0.05	1176	1884378	0.1776365894168495	0.04074231604396589	0.13689427337288362
full_query_syng/auto	1	0.05-0.1	230	266672	0.02513864233872933	0.0012312238364934746	0.023907418502235853
full_query_syng/auto	1	0.1-0.25	742	210500	0.01984341892775591	0.0017460992590271093	0.0180973196687288
full_query_syng/auto	1	0.25-0.5	34	2866	0.0002701721550923916	0.0006715766380873498	-0.00040140448299495816
full_query_syng/auto	1	0.5-0.75	0	0	0.0	0.0007611201898323297	-0.0007611201898323297
full_query_syng/auto	1	0.75-1	0	0	0.0	0.4076134404871169	-0.4076134404871169
full_query_syng/auto	1	1-1.5	0	0	0.0	0.22708244722526919	-0.22708244722526919
full_query_syng/auto	1	1.5-2	0	0	0.0	0.038940252065098165	-0.038940252065098165
full_query_syng/auto	1	2-3	0	0	0.0	0.27242506324013344	-0.27242506324013344
full_query_syng/auto	1	>=3	0	0	0.0	0.00036936715094804237	-0.00036936715094804237
full_query_syng_local/auto	1	0-0.01	4338	6746833	0.7461769787146836	0.008417093864028117	0.7377598848506555
full_query_syng_local/auto	1	0.01-0.05	1488	1824765	0.20181285568566756	0.04074231604396589	0.16107053964170168
full_query_syng_local/auto	1	0.05-0.1	323	247645	0.027388701913000933	0.0012312238364934746	0.026157478076507458
full_query_syng_local/auto	1	0.1-0.25	1259	217552	0.02406051759000658	0.0017460992590271093	0.02231441833097947
full_query_syng_local/auto	1	0.25-0.5	47	5064	0.0005600613236182306	0.0006715766380873498	-0.00011151531446911922
full_query_syng_local/auto	1	0.5-0.75	7	7	7.741763952068748e-07	0.0007611201898323297	-0.0007603460134371228
full_query_syng_local/auto	1	0.75-1	0	0	0.0	0.4076134404871169	-0.4076134404871169
full_query_syng_local/auto	1	1-1.5	0	0	0.0	0.22708244722526919	-0.22708244722526919
full_query_syng_local/auto	1	1.5-2	1	1	1.1059662788669641e-07	0.038940252065098165	-0.03894014146847028
full_query_syng_local/auto	1	2-3	0	0	0.0	0.27242506324013344	-0.27242506324013344
full_query_syng_local/auto	1	>=3	0	0	0.0	0.00036936715094804237	-0.00036936715094804237
